Asset Id,Feature,Sub-Feature,Org,Direction,Route,Ramp #,Ramp ID,Lane Location,From MP/Offset,To MP/Offset,Length/Area(ft),Lat,Long
1470020,Pipe Opening Location,CMP W/Plastic Insert,St. Johns,,SR-61,,,Right,355.34,355.34,,34.297252,-109.797908
1470037,Box Culvert Location (CBC),Box Culvert (CBC),St. Johns,,SR-61,,,Right,357.73,357.73,,34.318463,-109.765494
1470040,Box Culvert Location (CBC),Box Culvert (CBC),St. Johns,,SR-61,,,Right,358.74,358.74,,34.327746,-109.751843
1470931,Pipe Opening Location,CMP W/Plastic Insert,St. Johns,,SR-61,,,Right,365.36,365.36,,34.393076,-109.66721
1470944,Box Culvert Location (CBC),Box Culvert (CBC),St. Johns,,SR-61,,,Right,368.27,368.27,,34.428322,-109.640768
1470953,Box Culvert Location (CBC),Box Culvert (CBC),St. Johns,,SR-61,,,Right,369.74,369.74,,34.449088,-109.632383
1470974,Box Culvert Location (CBC),Box Culvert (CBC),St. Johns,,SR-61,,,Right,372.42,372.42,,34.476515,-109.602894
1470990,Box Culvert Location (CBC),Box Culvert (CBC),St. Johns,,SR-61,,,Right,374.02,374.02,,34.4862,-109.578052
1470991,Box Culvert Location (CBC),Box Culvert (CBC),St. Johns,,SR-61,,,Right,374.26,374.26,,34.484669,-109.574355
1470992,Box Culvert Location (CBC),Box Culvert (CBC),St. Johns,,SR-61,,,Right,375.25,375.25,,34.485227,-109.557347
1470993,Box Culvert Location (CBC),Box Culvert (CBC),St. Johns,,SR-61,,,Right,375.42,375.42,,34.485394,-109.554414
1470999,Box Culvert Location (CBC),Box Culvert (CBC),St. Johns,,SR-61,,,Right,378.22,378.22,,34.497362,-109.508542
1471000,Pipe Opening Location,Concrete,St. Johns,,SR-61,,,Right,378.82,378.82,,34.500439,-109.498715
1471007,Pipe Opening Location,CMP W/Plastic Insert,St. Johns,,SR-61,,,Right,381.14,381.14,,34.510941,-109.46193
1471008,Pipe Opening Location,CMP W/Plastic Insert,St. Johns,,SR-61,,,Right,381.20,381.20,,34.510981,-109.460894
1471028,Pipe Opening Location,CMP W/Plastic Insert,St. Johns,,SR-61,,,Right,365.36,365.36,,34.393005,-109.667092
1471039,Box Culvert Location (CBC),Box Culvert (CBC),St. Johns,,SR-61,,,Right,368.27,368.27,,34.428257,-109.64064
1471048,Box Culvert Location (CBC),Box Culvert (CBC),St. Johns,,SR-61,,,Right,369.74,369.74,,34.44906,-109.632195
1471053,Box Culvert Location (CBC),Box Culvert (CBC),St. Johns,,SR-61,,,Right,370.20,370.20,,34.453806,-109.627875
1471054,Box Culvert Location (CBC),Box Culvert (CBC),St. Johns,,SR-61,,,Right,370.48,370.48,,34.456798,-109.624515
1471079,Box Culvert Location (CBC),Box Culvert (CBC),St. Johns,,SR-61,,,Right,372.42,372.42,,34.476452,-109.602753
1471095,Box Culvert Location (CBC),Box Culvert (CBC),St. Johns,,SR-61,,,Right,374.02,374.02,,34.48601,-109.578157
1471096,Box Culvert Location (CBC),Box Culvert (CBC),St. Johns,,SR-61,,,Right,374.27,374.27,,34.484363,-109.574266
1471097,Box Culvert Location (CBC),Box Culvert (CBC),St. Johns,,SR-61,,,Right,375.25,375.25,,34.485053,-109.557292
1471098,Box Culvert Location (CBC),Box Culvert (CBC),St. Johns,,SR-61,,,Right,375.42,375.42,,34.485283,-109.554387
